Titolo,id_ristorante,Data,Target,Recensioni,Punteggio,Foto1,Foto2,user_id
Showed their quality when things went slightly wrong.,g1005967-d10241689, 30 maggio 2023,couples,"We dropped in for (a late) lunch while visiting the Ditchling Artists' Open Houses and we both ordered quiche and potato salad. When it arrived, one plate had coleslaw instead of potato salad because they had run out. Now, you could be critical and say that they should have told us about the substitution before serving, and I was a little disappointed because the potato salad had looked very good, 

BUT (and here's the point) they couldn't have been more apologetic about it and offered us different salads and free cake and extra drinks to make up for it. That's the way to run a public-facing business! The food, by the way, was delicious and we'll certainly be visiting again - maybe a bit earlier this time.","Punteggio 4,0 su 5",,,406
Singer at the cock. Fantastic night,g1006576-d10629745, 10 marzo 2023,family,Fantastic place. Lovely atmosphere. The singer was fantastic. Food was really lovely and the staff were super friendly and welcoming. Loved it!!! We have booked again already 😁,"Punteggio 5,0 su 5",,,1672
Slow and cashless,g1006504-d1007560, 11 marzo 2024,family,Booked a table then when we arrived on time we were told it wasnt ready yet. Had to sit in bar area for 25 minutes before our table became available. Food and service ok if not abit overpriced. Also cashless which is simply pathetic and the main reason i will not be returning.,"Punteggio 2,0 su 5",,,1557
Slow service and Dry burgers,g1006504-d1007560, 13 marzo 2024,family,"Such a disappointment. We went for the Wednesday special. Any burger £9.95 which sounds great. Booked for 4 people and arrived on time.
A very nice welcome and got taken to a table far in the restaurant.
Lovely young staff took our drinks order and then our main meal.
From this point we waited far too long for the food to arrive having finished our drinks.
When the food arrived it was dry and not what you would except.
As we had guests with us didn’t want to make any fuss.
It was just went to pay and was asked about the meal for which I said not great. 
The restaurant maybe had five or six tables with guests so why so bad. And at the end four burgers and four burgers and four drinks around £70.00 each. The person at the bar did take 10% off but still not great.
Would I go back or recommend. It’s a bio NO.
Sorry but for that money you need to lift your game.","Punteggio 1,0 su 5",,,337
Smashing.,g1006504-d5816534, 11 gennaio 2024,family,"Members of staff are very nice, polite, efficient. Food is great, varied menu, good value. One of my favourites, wonderful breakfasts also. 🙂👍","Punteggio 5,0 su 5",,,2110
So Many Flies 😡,g1005967-d2459574, 26 settembre 2022,none,"First and last visit here.  Flies on us, flies on the table, flies on the floor and flies on our food.  Sat down at table and it was at least 30 mins before anyone came over to take our order, and it wasn’t particularly busy.  Food was ok, but hubby said his roast potatoes were some of the worse he’s had, and another’s rare beef was well over cooked.  Staff obviously hadn’t been to the ‘smile and engage with customer’ course and no one gave the impression they wanted to be there.

At least the dogs ate well that night!","Punteggio 2,0 su 5",,,2591
Soggy rolls,g1006175-d2354647, 2 aprile 2024,family,Had to wait ages for our takeout order. When it arrived they had forgotten our drinks. We had the hot turkey and hot beef rolls. The meat was delicious but it was spoiled by the fact that the rolls were drowned in gravy and so were impossible to pick up and eat as the bottoms were all soggy! Couldn't be bothered to complain at the time as we had already waited ages 😞,"Punteggio 2,0 su 5",,,1334
Spoilt for choice!,g1005967-d12183920, 23 novembre 2023,family,"Friendly, great range to choose from. Love their cake choice is huge and are fresh and moist! We get there early as possible to get their freshly baked scones. Clean spacious too!","Punteggio 5,0 su 5",,,1374
Staff were wonderful!,g1005967-d12183920, 13 novembre 2023,family,"Me, my sister, my niece and my grandmother visited today and it was delightful. We had a bit of an issue with the food sadly, but when I reported this to the lovely staff member we were offered replacements and a couple of complimentary drinks or a bit of cake. 
My niece (3.5 years old) smashed a glass by accident, and the staff never moaned, complained, snarled nor growled. They were charming.
Special thanks to the wonderful Lucy who was a star. Lucy you rock. You star. Thank you. Manager, give her a pat on the back but instead, a pay rise would be better! 
Thanks. Special day.","Punteggio 5,0 su 5",,,2225
Staff with Bad Attitude in Restaurant,g1006504-d3626394, 3 marzo 2024,family,"Visited this morning for breakfast. The restaurant staff, particularly Charlotte made us feel uncomfortable and very unwanted. She was snappy, barked at us to look at the board and then accused one of us for having more items than we should, when we actually had the correct number. If she's not a morning person, and doesn't like a customer service industry, I would suggest she looks at a different role. We will not be returning. We had a very personal, family reason for coming here today, which was very much spoilt by this young person.","Punteggio 1,0 su 5",,,1601
Standard eatery,g1006504-d3806898, 18 febbraio 2024,family,"Can’t say I would recommend. The food wasn’t anything to shout about, service was good. Think the food is very highly priced for the quality and portion size you get.","Punteggio 3,0 su 5",,,478
Still no wi-fi and staff miserable,g1006504-d6620815, 17 marzo 2022,none,We have been visiting this Wetherspoons for several years. The wi-fi hasn't been working for several months and we were just told it was out of their hands. Really? It is still saying free wi-fi on their menus. Some of the staff are quite miserable too. The ladies toilets are usually pretty gross too.,"Punteggio 2,0 su 5",,,278
Stunning Food in a Cracking Harbour Location,g10021931-d3222824, 24 maggio 2024,friends,"A fantastic coastal cafe in the stunning location of Mylor Harbour.  We had a mini adventure taking the Flushing Ferry from Falmouth and then had a stunning (easy) 2.5m walk around Trefusis Point and on to Mylor, a working harbour busy this time of year with yachts passing our table at intervals on route to being launched for the season.

The cafe has lots of outdoor and inside seating, a welcoming team and absolutely cracking food created by Charlotte the chef and her team. We had dishes including a King Prawn Salad with Asian inspired salad and Avocado & Toasted Halloumi on sourdough with homemade chilli jam and toasted hazelnuts. The menu is really fresh and wholesome, the coffee delicious and the cafe so worth a visit.","Punteggio 5,0 su 5",,,1299
Sunday Evening for Food,g1006504-d6620815, 27 giugno 2022,family,Good Wetherspoons pub. Decent service and food. No Half chicken in stock. No FishnChips in stock. Excellent value drinks.,"Punteggio 3,0 su 5",,,1283
Sunday Lunch,g1006175-d2354647, 3 marzo 2024,friends,"If you're looking for a Sunday lunch that tastes like homemade, this is the place. Choice of meats cooked to perfection, fresh vegetables, roast potatoes, dauphine potatoes and yorkshire pudding.     Not forgetting proper gravy. Staff were attentive and pleasant. We couldn't manage a sweet. So we all agreed that we would have to return to try the roulade or lemon meringue although the choice in the window would make it difficult. Lovely atmosphere looking forward to a return visit.","Punteggio 5,0 su 5",,,2062
Sunday lunches a speciality,g1006504-d2320409, 12 novembre 2019,none,"Excellent Sunday lunches. Great service and food.
Atmosphere and wonderful views across the golf courses","Punteggio 5,0 su 5",,,177
Super lovely place,g1006576-d10629745, 22 novembre 2022,couples,"Wow! Decor is incredible but keeps such a homely feeling at the same time which is perfect, staff are so accommodating and super helpful, from booking to leaving it was just so well ran and easy. Food was incredible, well worth the value same for the cocktails, London standard without the London price! Will definitely be returning and recommending to everyone!","Punteggio 5,0 su 5",,,2683
Superb food and good value,g1006504-d3201313, 4 aprile 2024,family,"Best pub meal I've had in years. My wife, I and our two teenage boys came for a meal this evening and all had the set menu. Excellent value, 2 of us had gammon and 2 had hunters chicken. All highly recommended. Food was really superb and portion size very good. Service from Jackie and other staff all very good. Can't wait to return.","Punteggio 5,0 su 5",,,1138
Superb!,g1006175-d2354647, 11 febbraio 2024,family,"What a fabulous restaurant with an extensive menu and fresh homecooked food. The best Sunday dinner we have ever had! We had roast beef, two different types of potatoes and a really generous portion of five different veg, all served with Yorkshire pud and proper gravy,  Absolutely delicious and such amazing value. The deserts are all so tempting too but we were so full we had to take them away to eat later at home. Thank you Margaret and the girls for such a warm welcome and wonderful service. We can't recommend you highly enough.","Punteggio 5,0 su 5",,,1212
Superlative scones,g1005967-d13447953, 19 maggio 2024,friends,"Absolutely idyllic. A memorable sandwich cream tea ( even the crusts were taken off the sandwich!) and possibly the best scone I’ve had in my life and believe me I’ve eaten a lot of them! Fresh , warm and tasty. Beautiful little garden , sitting in the sun, nice waitresses ,we thanked the manager for her scones and she told us that they baked 90 every morning. 
Thoroughly recommend. A lovely little village , well worth exploring.","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2c/38/84/20/caption.jpg,,258
Takeaway Indian,g1006504-d2178057, 24 luglio 2023,couples,"Excellent Indian Cuisine. Ordered a takeaway which was reasonably quick and delicious. Would recommend. Haven't eaten in, but looks ok.","Punteggio 5,0 su 5",,,684
Tanto per un bicchiere di vino???????,g1006504-d1372741,,family,"Sono tornato in questo ristorante dopo alcuni anni e ho trovato, purtroppo, tale è cambiato niente. Il servizio è cordiale ma lento, il cibo non era niente di speciale e il prezzo delle bevande è balzato. Ho chiesto un bicchiere di vino bianco, non mi ha chiesto che tipo di vino che ho preferito, ed è stato acquistato un bicchiere di non - particolari caratteristiche di medie bianco che mi torna oltre £ 6 ; bene se avevo chiesto per il meglio sul menu, non andava bene dato che appena girato fino al tavolo. Inoltre ci metteva a pagare e lasciare perché la nostra cameriera era apparentemente "" occupato in cucina "" . Salute e nota di sicurezza: le cameriere che entravano in e out della cucina non ha avuto il corretto di indossare scarpe adatte per farlo. Nel complesso molto deludente, e io non ci torneremo.","Punteggio 3,0 su 5",,,518
Tasty breakfast bap,g10021931-d3222824, 4 dicembre 2023,friends,"We walked the dogs from Flushing, really nice albeit muddy walk so we were very thankful to sit down in this lovely restaurant and chill out.

We had the breakfast baps which were good value and filling washed down with a decent coffee. Dog friendly inside and out.","Punteggio 4,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2a/f2/a8/35/caption.jpg,,1498
"Tasty food, great location",g10021931-d3222824, 8 maggio 2024,couples,"Walking from Flushing we booked a table in advance to ensure we got a seat.

The food was delicious and plentiful, service was efficient and professional. Dog friendly and great outside space overlooking the marina!","Punteggio 4,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2c/1a/39/43/caption.jpg,https://media-cdn.tripadvisor.com/media/photo-l/2c/1a/39/44/caption.jpg,820
Tasty veggie lunch,g1006504-d1007560, 18 marzo 2024,friends,We enjoyed our roast veggie lunch all very tasty. We were well looked after by Lisa who kept making sure all was OK. All staff friendly & will be back again,"Punteggio 5,0 su 5",,,665
Terrible,g1006524-d2647930, 3 aprile 2024,family,"3 times me and my wife asked if they do vegan food , so we asked the sever could we have 2 vegan burgers please , after 30 minutes wait was given normal beef burgers , after the first bite I could tell it was meat I haven't eaten meat for 6 years, due to this cock up I feel so sick haven't stoped throwing up thanks for wreaking are break away made it worse that the server tried to say that we didn't order vegan burgers 6 years we haven't had meat so why now would we .... terrible","Punteggio 1,0 su 5",,,109
Terrible service,g1006576-d10629745, 30 ottobre 2022,friends,"Visited here on Saturday for some lunch. When we arrived we were not greeted or even acknowledged. We were a party of 6 (4 adults 2kids).
We grabbed a table and after 10 minutes still no one had spoken to us. One of us went to the bar to be advised its order at the bar only which is fine its just nice to be told that. He returned to the table where we read through the menu to choose what we wanted. 5 minutes later the bar man came to our table to tell us we are not serving food until Tuesday week. That being the case why were there food menus on every table? Awful service and we will not return. We swiftly left with two hungry kids in tow and we had an amazing meal at the Kings head just over the road","Punteggio 1,0 su 5",,,1762
Tesco curry is tastier.,g1006504-d2178057, 9 settembre 2023,couples,"Very poor. Luke warm tasteless food. My partner ordered a lamb  jalfrezi which didn't taste of curry at all, only peppers.
My khan sali on the menu sounded lovely but was a tasteless stir fry. Bombay potatoes were just boiled potatoes with a slimy sauce over.
This was a takeaway but won't be using again.","Punteggio 2,0 su 5",,,446
The band reunion,g1006576-d10629745, 25 febbraio 2023,none,"Met up with the guys from our old band. Very friendly, very welcoming staff. Can't comment on the beers as I'm not a beer drinker but the others were all very happy. Tapas is a great way to eat and to chat and the tapas here did not disappoint. Something for everyone and no waiting for plated meals, just dive in and it keeps coming!
It has a treat relaxed atmosphere with the feel of an established tavern.
The Cock has been recently taken over so the older negative reviews don't do the place justice. Will come again.","Punteggio 5,0 su 5",,,2577
The best Sunday Dinner!,g1006175-d6104159, 20 gennaio 2024,family,"Ended up here by chance after exploring the castle.  Decided to order the Sunday dinner platter for 2 and oh my goodness it didn't disappoint!  
Lots of veg on the plate and then a board full of 3 different meats, roast potatoes and 4 massive yorkshire puddings!
The meats were all tender (pork, lamb and beef) and the gravy was one the most tastiest gravy I have ever had. Excellent value fir money, good service and a lovely pub atmosphere with a roaring fire on the go!
Can't wait to return and bring the rest of the family.","Punteggio 5,0 su 5",,,683
The Perfect End to the Day,g1006504-d3201313, 5 aprile 2024,family,"On our way back from a holiday day out looking for somewhere to eat, we chanced upon the Horns Inn. Welcoming from the get go, the team sat us by the window with beautiful views of its rural setting and served drinks. The extensive menu had something for all and the prices incredibly reasonable, better than that was the food dished up, generous portions and absolutely delicious! With the very relaxed atmosphere, excellent food and drink combined with the very attentive team made it the perfect end to a great day. Cannot recommend the Horn Inn highly enough, thank you Wendy and the team for the positive experience on our much needed break. See you again when we’re next down!","Punteggio 5,0 su 5",,,281
The staff are polite and really friendly the waiting times for your meal are really good and would like to go back soon😁,g1006175-d2354647, 11 febbraio 2024,family,This cafe is great for a nice meal with the family or friends they always have lovely decorations which gives a great feeling,"Punteggio 5,0 su 5",,,629
The Tap & Railway is our families new Local,g1006504-d2509017, 6 maggio 2024,family,"I took the family there for a pub lunch as a day out. What a fantastic family friendly place to visit. Such an amazing atmosphere, with a safe play area for our little man outside. Very welcoming and friendly staff that act like you are an extension of their family.  Food is good and couldn't find fault with it. What started out as just a lunch visit, turned into an afternoon stay, after we phoned some friends and asked them to join us. I highly recommend the Tap for a visit, and maybe even make it your local which we have now done.","Punteggio 5,0 su 5",,,1066
Thoroughly enjoyed our visit!,g1006576-d10629745, 26 marzo 2023,none,"We had a lovely visit. Food is served quickly and is delicous. There are lots of drinks and cocktails to choose from and taste so nice. Staff are very welcoming and friendly, I will be visiting again soon.","Punteggio 5,0 su 5",,,630
Thoroughly recommended,g1006576-d1006804, 29 marzo 2024,family,"Thoroughly recommended. Latest visit was a family lunch for six on Good Friday. Friendly atmosphere, friendly professional team,  great service, good food, beer Battered Cod, Peas and Chips was fantastic. We like this pub all year round, it has a small terrace and a large garden with a lot of tables and  nice  view over a pretty paddock  and fields.","Punteggio 5,0 su 5",,,1365
"To praise the efforts of your employee Owen, helping us to enjoy our family Easter meal",g1006504-d4985353, 30 marzo 2024,family,"We enjoyed a family Easter meal in the Pure Drop this evening. The food was very good and drinks a plenty, it was a very enjoyable evening. The main reason for the review was to praise your young waiter Owen Morey. He was attentive, polite and a fantastic credit to your restaurant. Nothing was too much trouble, he wore a smile and couldn't do enough for us. I hope you recognise his efforts and the qualities he brings to the Pure Drop. A huge thank you, we will be back soon.","Punteggio 5,0 su 5",,,2507
Toasty,g1006504-d3626394, 5 aprile 2024,family,"I was talking to my husband about the toasty saying about the Brie bacon and chilli jam I am not a chilli lover so I was going to see what I could have instead but a lovely lady called Emma ask would we like I said I would love the Brie toasty but it chilli jam and before I could say anything Emma turn around and said I can make you one without the chilli jam without no hesitation. 
Which i thought was amazing!!! But the team was lovely a warm welcome so thank you","Punteggio 5,0 su 5",,,2028
top class as always,g1005967-d13447953, 29 marzo 2024,friends,Superb food & service. Breakfast is a great experience and we travel 200 miles to stay with friends and always come to the Nutmeg on our last day.,"Punteggio 5,0 su 5",,,2005
Tremendous,g1005967-d3783536, 5 maggio 2024,friends,"Tremendous.  Came in on the off-chance and was received by very pleasant bar staff. Great atmosphere, great variety at the bar. Had lunch at the bar and it was superb. I had two starters - the pea soup especially was great. My pal really enjoyed his haddock and chips. Will 100% return.","Punteggio 5,0 su 5",,,2515
Un ottimo rapporto qualità/prezzo.,g1006504-d1372741,,couples,Ottimo pasto. Il personale è fantastico. Lo consiglio vivamente come un buffet di carni arrosto. Eccellente varietà di carne e verdure.,"Punteggio 5,0 su 5",,,2585
Unfriendly and untrained staff,g10021931-d3222824, 9 aprile 2024,couples,"We have visited the cafe numerous times and on every occasion the food has been amazing but unfortunately we cannot say the same about the staff that serve, not the chefs. They are always so miserable and as business people we know how staff should behave but I’m afraid the training is very poor in this cafe, one example the girl with long blond hair was behind the counter where food is served and decided it was okay to brush her hair and flick it about and making sure it was okay in the reflection of the coffee machine. 
This should be an enjoyable place to visit and not feel that you are a burden to the staff, when customers are trying to keep them employed. 
After witnessing the hair episode on Sunday, maybe environmental health should get involved, but can be overlooked in this instance.","Punteggio 1,0 su 5",,,585
Unfriendly welcome....,g1005967-d10241689, 13 maggio 2023,couples,"The lady that served us at the till quite clearly has no customer service skills, no thank you, no pleasant greeting absolutely nothing...also the place could do with a deep clean it seemed pretty grubby especially the facilities...the tea was very nice, but the service was terrible....","Punteggio 2,0 su 5",,,1047
Unnecessary poor customer service!,g1005967-d3783536, 28 aprile 2024,family,"We had a get together with some family and had booked lunch on the basis that we would have the table for 2 hours. The restaurant was not busy so we were surprised at less than 1.5 hours into our booking we were asked to leave as they needed our table!
If the restaurant had been busy I would have understood, but there were other tables that had been there far longer than us.
We had all had two courses and had finished but were catching up and generally chatting. I would have argued but didn't want to upset the family members we were with.
The food was average and nothing special. They also added 12.5% service which I think is high for a pub.
There are other pubs who offer better service. We have eaten here before but will not return!","Punteggio 2,0 su 5",,,1785
Upmarket vibe,g1006175-d8497246, 28 aprile 2024,couples,"Treated for my birthday to dinner here as it's next door to our hotel which we'd eaten at previous evening.  On arrival we were greeted by two lovely, friendly staff and shown to a table. A very upmarket vibe but friendly atmosphere with tasteful decor and subtle rustic touches. 
I ordered the roe deer from the menu (venison) and hubby ordered baked cod. Venison was best ive had, so tender and bursting with flavours on the rosti potato pancake and delicately roasted veg. However, the baked cod was lukewarm. My husband did not like to mention anything so devoured the dish and said it was very good despite this. Puddings were delicious. 
Prices on the steep side but busy enough with only 3 empty tables at 8.30pm.

Would recommend and if in the area, will book again.","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2b/fb/8e/9d/caption.jpg,,2413
Value for money,g1006504-d6620815, 14 giugno 2023,family,I  invited with my brother and haunch. The property was clean and staff very friendly. Food arrived quickly and was hot and well presented. Overall a very enjoyable experience,"Punteggio 5,0 su 5",,,2434
Venue for my mum's wake 🌟🌟🌟🌟🌟,g1006576-d1006804, 24 agosto 2023,family,"We often came here as a family years ago so had our mums funeral wake here. Staff were so friendly and accommodating. The food was fantastic and the surroundings perfect.
Everyone comments were positive even though it was a sad occasion it made a good celebration of her life to have it there. Thankyou so much 🌟🌟🌟🌟🌟","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2a/25/ab/a4/caption.jpg,,1337
Very bad food.,g1005967-d2459574, 15 aprile 2023,couples,"Had dinner with my partner . Very poor evening. I ordered  Cajun chicken burger and chips. The bun was burnt , black underneath, the Cajun batter was burnt and fell off the dry chicken. Zero flavour what so ever.
The chips aren’t chips it’s a potato cut 4 ways.

My partner ordered sausage and mash. They didn’t serve mash they served the potato 4 ways as chips. Shocking.

I informed the young waitress of how poor the meals were. Before I left I asked if she informed the chef she said she didn’t want to make her upset . I said not as angry as iv had to pay over £30 with no apology.","Punteggio 1,0 su 5",,,2002
Very disappointing,g1005967-d12183920, 19 maggio 2024,family,"Lovely restaurant seating and outdoor area BUT very disappointing food.
We arrived 10:45am on a Sunday for a breakfast. Lukewarm gardeners breakfast and avo eggs and bacon. Would have thought first breakfasts out would be hot and fresh but had probably been cooked before opening at 10:30! Not great quality either.
Could do so much better in such an impressive revamp. Shame on you.","Punteggio 2,0 su 5",,,2630
Very disappointing,g1006504-d1007560, 11 maggio 2024,friends,"Met 3 friends here for dinner. We were so disappointed with our meals. One friend had the cannelloni which looked dreadful. It was very badly cooked and I’m surprised it was sent out of the kitchen. Her replacement was no better and she was unable to eat it….it was taken off the bill. The chilli that one of the others had was ridiculously small. I would say it was just a tablespoon of chilli and the same of rice, if that. My 6 year old grandson would eat more. I wish I’d taken photos now. All the portions of our meals were small and definitely not value for money. I had the fish pie which tasted better than it looked….very aneamic. Again small though with a portion of cabbage on the side which was cold (cold plate) We decided not to have desserts. The only good thing about the evening was the lovely server. We will not return and sadly will not be recommending anyone to eat there.","Punteggio 2,0 su 5",,,1267
Very disappointing meal,g1006504-d3806898, 19 marzo 2023,couples,"Booked here for Mother’s Day meal with family, on the Saturday evening. We have been here before and enjoyed our meals, however this time the food and service were both poor, bacon in the carbonara was so salty it was inedible and the steak and ale pies had hard inedible pastry and cubed uniform meat that resembled dog food!! We were even charged for an incorrect drink order! I don’t think we will be returning in a hurry!","Punteggio 2,0 su 5",,,1311
Very good for an afternoon 'wake',g1005967-d10241689, 19 novembre 2022,none,"Very well managed for a party of 50 with in house quiche, focaccia, sandwiches and cup cakes polished off with the top Ditchling sparkling from nearby Court Garden vineyard","Punteggio 4,0 su 5",,,535
Very good service,g1005967-d10241689, 4 luglio 2023,family,The staff were very friendly and helpful. We bought some artwork while we were there. Food and service brilliant,"Punteggio 5,0 su 5",,,2086
"Very nice, as usual.",g1006504-d3806898, 28 febbraio 2024,family,"I took my aged mother to The Bridge House for the Carvery lunch.  We have been a few times over the years, and it was as good as it has always been.  The portions are generous, and the service was good.  The Turkey and Gammon were perfectly cooked, as were the vegetables.  I have to say the Yorkshire puddings could be better, and I don't know if they were brought in, or made from scratch at the hotel, but they need to be improved.  But that is minor compared to everything else.  We would both recommend this Carvery.","Punteggio 4,0 su 5",,,67
Very Poor,g1006504-d1007560, 9 maggio 2024,none,Extremely disappointed sending back my food twice as inedible and resulted in not eating My friends dishes were so small even for a child. Definitely not worth the money. It’s shame as The Angel has a nice atmosphere and the waitress was attentive,"Punteggio 2,0 su 5",,,627
Visita di ritorno,g1006504-d1043682,,couples,"Ci serviva un posto dove mangiare un venerdì sera come non abbiamo potuto affrontare un altro pasto nel Britannia Hotel in Bournemouth (vedi la mia recensione dell'hotel) . Ricordare questo posto dalla nostra ultima visita un paio di anni fa. Siamo lieti di vedere che è rimasto invariato - il cibo, il servizio e l'atmosfera ancora una grande.","Punteggio 4,0 su 5",,,829
We expected another reputable pub lunch but the standards have gone.,g1005967-d2459574, 9 settembre 2023,friends,"Having visited and eaten in this Pub there many times over the years we met friends there for what we all hoped would be another a good lunch but we were to be disappointed. 
Having chosen the Pulled Beef Burgers we found that whilst the meat was tasty the dressing of one thin ring of tomato and one lettuce leaf failed to display any sign of professional preparation or presentation.
The few token chips provided barely dressed the plate and could also have been cooked for longer.
But the crowning disappointment was the 'Black Coffee' through which we could see the bottom of the cups! 
More effort is needed by the management to regain any credibility as a good place to have a lunch.","Punteggio 2,0 su 5",,,1163
Welcoming coffee spot,g1006175-d8497246, 4 maggio 2024,couples,"Popped in here for a coffee and cake after visiting the castle. Sat in the courtyard at the back with the dogs as we didn't want to take up space inside, there is a convenient canopy to sit under to dodge the showers. Service was great even though busy - drinks and cake good","Punteggio 4,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2c/0f/58/f1/caption.jpg,,360
Well worth a visit.,g1006504-d2509017, 16 maggio 2024,couples,"My wife said her Hunters Chicken was very tasty.  If you like burgers, I can definitely recommend them.  Exceptional. 10/10","Punteggio 5,0 su 5",,,348
What a great Pub!,g1006576-d1006804, 28 gennaio 2024,family,"We booked the woodman for a specail birthday celebration, we had the round table which was excellent, staff looked after us from the time we arrived untill departure and the food was great. Many thanks to The woodman, we will definately return.","Punteggio 5,0 su 5",,,1948
When a table reservation isn’t a table reservation,g1005967-d2459574, 28 dicembre 2022,family,"We turned up for our table reservation at the allotted time but our table had been given to some casual drinkers. And we were given no choice but to wait for them to finish up which they weren’t in a hurry to do. We got to sit at our table half hour late and, despite pre-ordering, our meal took an extra half hour to arrive. It was luke warm, each element piled on top of the other and not overly fresh. Very little gravy so maybe were running out by then. Also had to ask for cranberry sauce and was given just a thimble full.","Punteggio 2,0 su 5",,,439
When the tall lady we’ve blonde hair is not in the pub all the staff are worried about home  stand chatting at the bar,g1006576-d1006804, 21 novembre 2023,couples,We’ve been to the pub a number of times with family or own never had any problems but over the last month when the lady in charge with the blonde hair who is really nice  was not there  on this occasion we had our French dog we’ve us ask to sit on top sittings area as we done a number of time we’ve the dog was told not severing there anymore it was 5 30 in the afternoon so we had to leave and get a takeout  2 more times went to eat was told stop dinners at 6pm this was all on Sundays we said we wouldn’t go back again but gave it a chance as we enjoyed the food there  but the staff were very poor once again standing at the bar taking about what time thay can get away we were ask if we like dessert we said yes but can you give us 10 minutes as we just finished eating dinner never returned half hour later we ask for the bill my wife had booked a table for midweek but cancelled it  this all seems to happen when the tall lady with the blonde is not around apart from this the pub is nice just make sure you go when the nice blonde lady’s there,"Punteggio 1,0 su 5",,,2618
"Won’t eat there again, will go to Tesco instead & eat at home.",g1006504-d1007560, 28 aprile 2024,couples,"One of my favourite pubs but recently had such a disappointing meal it is unlikely I will ever eat there again. 
My partner & I both ordered the fish pie. When it arrived I was too shocked to say anything. It was small & shallow, the mash looked as if it had not been browned in oven at all & there was a small amount of green cabbage to the side. There were 2 or 3 pieces of fish & the pie had very little flavour. 
I have this evening had a Charlie bighams fish pie from Tesco which was cheaper, double the size & depth, had loads of fish & tons of flavour. 
I appreciate pubs & restaurants are having to put up their prices & make servings smaller in order to still make money in the current financial climate but they must be careful to not go so far as to lose customers due to the poor quality of their meals because that also will put them out of business.","Punteggio 2,0 su 5",,,1520
Wonderful experience,g1006504-d3626394, 29 febbraio 2024,family,"Always an absolute pleasure to go to Haskins.  Great food great service.  Jane the cafe manager was fabulous caring kind and very professional.   Thank you Jane.  
Always a wonderful experience.","Punteggio 5,0 su 5",,,1521
Wonderful lunch,g1006524-d2647930, 22 novembre 2023,couples,"We left the car in the car park (after checking first) and walked for a couple of hours before returning for a wonderful lunch. We both chose from the lunchtime menu which at £15.50 seemed like a pretty good deal.  The houmous starter was probably the star dish; by far the best I have ever had.  Sausage and mash, fish and chips and sticky toffee pudding completed the meal.  All of them very good. Rosemary chips (from real potatoes!) were a great surprise.  Staff were very helpful and made a fuss of our small dog.  The only pity was that the two cask ales were not yet ready, (a definite 5 star otherwise) but on a dull Wednesday in November I can't imagine trade is too brisk. Plenty of other beers were available, including a coupe of non-alcoholic offerings.  It's quite  a long way from home so I don't expect we'll be back anytime soon, but on the evidence of this lunchtime the new management deserves to thrive. This is a terrific pub!","Punteggio 4,0 su 5",,,2172
Wonderful lunch 🥗,g1005967-d13447953, 15 maggio 2024,friends,"Wonderful experience and woud very much recommend food and quaint venue. Friendly locals, pooches, walkers and relaxed !
Lovely smiley staff ! X vegan options too ! 

 Hello, the nutmeg tree staff team x

Just a note to say, thank you for making our special lunch out so lovely today! 
the food was scrumptious, and staff and service were fab! very pleasant afternoon.xx

Thank you xx
P&J","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2c/30/23/22/caption.jpg,,971
Worst lunch ever!,g1005967-d12183920, 22 settembre 2023,friends,"Was looking forward to our Croque Monsier.  When it arrived it had one piece of fatty bacon in it. It said it had cheddar cheese in it, but all I found was about a tablespoon of yellow substance that didn't taste of anything & the cheese sauce was tasteless too. The only thing ok were the chips. Very disappointed as the food had been recommended to us.","Punteggio 1,0 su 5",,,379
Worst place I’ve eaten in Dorset by far,g1006504-d3806898, 1 maggio 2024,couples,"I can’t think of a single redeeming feature about the breakfast at this place.
It is truly awful.
The food is poor quality, overcooked and tastes of cardboard.
The service is dire. Absolutely no warmth or hospitality in a single bone of the servers bodies.  They just seemed to lack complete foresight to recognise items were running low/out and being proactive in making sure it was replenished.
Due to this most of the breakfast items weren’t regularly restocked so you had people waiting for pastries (we never tried any because they were always empty!) 
Coffee wasn’t refilled regularly and again, had to wait for this despite seeing fresh pots available on the staff side of the counter. 
It wasn’t busy so there really wasn’t any excuse for the lack of service. 
Glasses were also dirty which is pretty grim.

Plus sides though, there is parking. Although I’d rather go to Haskins or the pub down the road for food next time.","Punteggio 1,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2c/06/92/8f/caption.jpg,,179
